A new command I give you: Love one another. As I have loved you, so you must love one another.;Jesus Christ;love
A peace is of the nature of a conquest for then both parties nobly are subdued, and neither party loser.;William Shakespeare;nature
A person will sometimes devote all his life to the development of one part of his body - the wishbone.;Robert Frost;life
A person with a new idea is a crank until the idea succeeds.;Mark Twain;success
A picture is worth a thousand words.;Napoleon Bonaparte;art
A place for everything, everything in its place.;Benjamin Franklin;inspirational
A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.;Robert Frost;poetry
A poem begins in delight and ends in wisdom.;Robert Frost;wisdom
A poet never takes notes. You never take notes in a love affair.;Robert Frost;love
A policy is a temporary creed liable to be changed, but while it holds good it has got to be pursued with apostolic zeal.;Mahatma Gandhi;good
A prisoner of war is a man who tries to kill you and fails, and then asks you not to kill him.;Winston Churchill;war
A religion that takes no account of practical affairs and does not help to solve them is no religion.;Mahatma Gandhi;religion
A round man cannot be expected to fit in a square hole right away. He must have time to modify his shape.;Mark Twain;time
A sense is what has the power of receiving into itself the sensible forms of things without the matter, in the way in which a piece of wax takes on the impress of a signet-ring without the iron or gold.;Aristotle;power
A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.;Mahatma Gandhi;faith
A soldier will fight long and hard for a bit of colored ribbon.;Napoleon Bonaparte;war
A strong body makes the mind strong. As to the species of exercises, I advise the gun. While this gives moderate exercise to the body, it gives boldness, enterprise and independence to the mind. Games played with the ball, and others of that nature, are too violent for the body and stamp no character on the mind. Let your gun therefore be your constant companion of your walks.;Thomas Jefferson;nature
A successful lawsuit is the one worn by a policeman.;Robert Frost;legal
A table, a chair, a bowl of fruit and a violin what else does a man need to be happy?;Albert Einstein;happiness
A tramp, a gentleman, a poet, a dreamer, a lonely fellow, always hopeful of romance and adventure.;Charlie Chaplin;romantic
A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.;Aristotle;religion
A vow is a purely religious act which cannot be taken in a fit of passion. It can be taken only with a mind purified and composed and with God as witness.;Mahatma Gandhi;god
A well-spent day brings happy sleep.;Leonardo da Vinci;life
A wise and frugal Government, which shall restrain men from injuring one another, which shall leave them otherwise free to regulate their own pursuits of industry and improvement, and shall not take from the mouth of labor the bread it has earned. This is the sum of good government, and this is necessary to close the circlue of our felicities.;Thomas Jefferson;good
Absence from those we love is self from self - a deadly banishment.;William Shakespeare;love
After all, science is essentially international, and it is only through lack of the historical sense that national qualities have been attributed to it.;Marie Curie;science
After climbing a great hill, one only finds that there are many more hills to climb.;Nelson Mandela;great
Again, you can't connect the dots looking forward you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something - your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.;Steve Jobs;future
Age is an issue of mind over matter. If you don't mind, it doesn't matter.;Mark Twain;age
All cartoon characters and fables must be exaggeration, caricatures. It is the very nature of fantasy and fable.;Walt Disney;nature
All generalizations are false, including this one.;Mark Twain;funny
All human actions have one or more of these seven causes: chance, nature, compulsions, habit, reason, passion, desire.;Aristotle;nature
All labor that uplifts humanity has dignity and importance and should be undertaken with painstaking excellence.;Martin Luther King, Jr.;work
All men are born with a nose and ten fingers, but no one was born with a knowledge of God.;Voltaire;god
All men are by nature equal, made all of the same earth by one Workman and however we deceive ourselves, as dear unto God is the poor peasant as the mighty prince.;Plato;god
All men by nature desire knowledge.;Aristotle;knowledge
All men can see these tactics whereby I conquer, but what none can see is the strategy out of which victory is evolved.;Sun Tzu;men
All men's souls are immortal, but the souls of the righteous are immortal and divine.;Socrates;men
All my life I have tried to pluck a thistle and plant a flower wherever the flower would grow in thought and mind.;Abraham Lincoln;life
All my life through, the new sights of Nature made me rejoice like a child.;Marie Curie;nature
All our dreams can come true, if we have the courage to pursue them.;Walt Disney;courage
All our knowledge has its origins in our perceptions.;Leonardo da Vinci;knowledge
All religions have been made by men.;Napoleon Bonaparte;men
All styles are good except the tiresome kind.;Voltaire;good
All that I am, or hope to be, I owe to my angel mother.;Abraham Lincoln;hope
All that is valuable in human society depends upon the opportunity for development accorded the individual.;Albert Einstein;society
All the adversity I've had in my life, all my troubles and obstacles, have strengthened me... You may not realize it when it happens, but a kick in the teeth may be the best thing in the world for you.;Walt Disney;best
All the commandments: You shall not commit adultery, you shall not kill, you shall not steal, you shall not covet, and so on, are summed up in this single command: You must love your neighbor as yourself.;Jesus Christ;love
All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.;Winston Churchill;freedom
All the reasonings of men are not worth one sentiment of women.;Voltaire;men
All the religions of the world, while they may differ in other respects, unitedly proclaim that nothing lives in this world but Truth.;Mahatma Gandhi;truth
All the world's a stage, and all the men and women merely players: they have their exits and their entrances and one man in his time plays many parts, his acts being seven ages.;William Shakespeare;men
All truths are easy to understand once they are discovered the point is to discover them.;Galileo Galilei;truth
All war is based on deception.;Sun Tzu;war
All war is deception.;Sun Tzu;war
All who call on God in true faith, earnestly from the heart, will certainly be heard, and will receive what they have asked and desired.;Martin Luther;faith
All who think cannot but see there is a sanction like that of religion which binds us in partnership in the serious work of the world.;Benjamin Franklin;religion
All you need is ignorance and confidence and the success is sure.;Mark Twain;success
Allow the president to invade a neighboring nation, whenever he shall deem it necessary to repel an invasion, and you allow him to do so whenever he may choose to say he deems it necessary for such a purpose - and you allow him to make war at pleasure.;Abraham Lincoln;war
Although I don't have a prescription for what others should do, I know I have been very fortunate and feel a responsibility to give back to society in a very significant way.;Bill Gates;society
Although all the good arts serve to draw man's mind away from vices and lead it toward better things, this function can be more fully performed by this art, which also provides extraordinary intellectual pleasure.;Nicolaus Copernicus;art
Although nature commences with reason and ends in experience it is necessary for us to do the opposite, that is to commence with experience and from this to proceed to investigate the reason.;Leonardo da Vinci;experience
Always bear in mind that your own resolution to succeed is more important than any other.;Abraham Lincoln;success
Always fall in with what you're asked to accept. Take what is given, and make it over your way. My aim in life has always been to hold my own with whatever's going. Not against: with.;Robert Frost;life
Am I not destroying my enemies when I make friends of them?;Abraham Lincoln;friendship
Among the many misdeeds of the British rule in India, history will look upon the act depriving a whole nation of arms as the blackest.;Mahatma Gandhi;history
An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men.;Charles Darwin;men
An association of men who will not quarrel with one another is a thing which has never yet existed, from the greatest confederacy of nations down to a town meeting or a vestry.;Thomas Jefferson;men
An empty stomach is not a good political adviser.;Albert Einstein;good
An error does not become truth by reason of multiplied propagation, nor does truth become error because nobody sees it.;Mahatma Gandhi;truth
An eye for an eye only ends up making the whole world blind.;Mahatma Gandhi;peace
An ideal form of government is democracy tempered with assassination.;Voltaire;government
An individual who breaks a law that conscience tells him is unjust, and who willingly accepts the penalty of imprisonment in order to arouse the conscience of the community over its injustice, is in reality expressing the highest respect for the law.;Martin Luther King, Jr.;respect
An insincere and evil friend is more to be feared than a wild beast a wild beast may wound your body, but an evil friend will wound your mind.;Buddha;friendship
An investment in knowledge pays the best interest.;Benjamin Franklin;best
An oppressive government is more to be feared than a tiger.;Confucius;government
An overflow of good converts to bad.;William Shakespeare;good
And finally I twist my heart round again, so that the bad is on the outside and the good is on the inside, and keep on trying to find a way of becoming what I would so like to be, and could be, if there weren't any other people living in the world.;Anne Frank;good
And know that I am with you always yes, to the end of time.;Jesus Christ;time
And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everything.;William Shakespeare;good
And what he greatly thought, he nobly dared.;Homer;great
And what, Socrates, is the food of the soul? Surely, I said, knowledge is the food of the soul.;Plato;food
Anger and intolerance are the enemies of correct understanding.;Mahatma Gandhi;anger
Anger dwells only in the bosom of fools.;Albert Einstein;anger
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.;Mark Twain;anger
Anger is never without a reason, but seldom with a good one.;Benjamin Franklin;anger
Anger is the enemy of non-violence and pride is a monster that swallows it up.;Mahatma Gandhi;anger
Animation can explain whatever the mind of man can conceive. This facility makes it the most versatile and explicit means of communication yet devised for quick mass appreciation.;Walt Disney;communication
Any man may be in good spirits and good temper when he's well dressed. There ain't much credit in that.;Charles Dickens;good
Any man may easily do harm, but not every man can do good to another.;Plato;good
Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.;Albert Einstein;intelligence
Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.;Abraham Lincoln;government
Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.;Aristotle;anger
Anyone who conducts an argument by appealing to authority is not using his intelligence he is just using his memory.;Leonardo da Vinci;intelligence
Anyone who doesn't take truth seriously in small matters cannot be trusted in large ones either.;Albert Einstein;truth
Anyone who has the power to make you believe absurdities has the power to make you commit injustices.;Voltaire;power
Anyone who is to find Christ must first find the church. How could anyone know where Christ is and what faith is in him unless he knew where his believers are?;Martin Luther;faith
Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.;Henry Ford;age
Anyone who tells a lie has not a pure heart, and cannot make a good soup.;Ludwig van Beethoven;good
Anything that won't sell, I don't want to invent. Its sale is proof of utility, and utility is success.;Thomas A. Edison;success
Applause waits on success.;Benjamin Franklin;success
Apply yourself both now and in the next life. Without effort, you cannot be prosperous. Though the land be good, You cannot have an abundant crop without cultivation.;Plato;good
Arbitrary power is most easily established on the ruins of liberty abused to licentiousness.;George Washington;power
Are creeds such simple things like the clothes which a man can change at will and put on at will? Creeds are such for which people live for ages and ages.;Mahatma Gandhi;change
Art is never finished, only abandoned.;Leonardo da Vinci;art
Art! Who comprehends her? With whom can one consult concerning this great goddess?;Ludwig van Beethoven;art
As a rule, men worry more about what they can't see than about what they can.;Julius Caesar;men
As a well-spent day brings happy sleep, so a life well spent brings happy death.;Leonardo da Vinci;death
As human beings, our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.;Mahatma Gandhi;age
As individuals, people are inherently good. I have a somewhat more pessimistic view of people in groups. And I remain extremely concerned when I see what's happening in our country, which is in many ways the luckiest place in the world. We don't seem to be excited about making our country a better place for our kids.;Steve Jobs;good
As long as man continues to be the ruthless destroyer of lower living beings he will never know health or peace. For as long as men massacre animals, they will kill each other.;Pythagoras;health
As our enemies have found we can reason like men, so now let us show them we can fight like men also.;Thomas Jefferson;men
As soon as laws are necessary for men, they are no longer fit for freedom.;Pythagoras;freedom
As soon go kindle fire with snow, as seek to quench the fire of love with words.;William Shakespeare;love
As surely as I am the living God, everyone will kneel before me, and everyone will confess that I am God.;Jesus Christ;god
As to marriage or celibacy, let a man take which course he will, he will be sure to repent.;Socrates;marriage
As we advance in life we learn the limits of our abilities.;Henry Ford;life
Associate with men of good quality if you esteem your own reputation for it is better to be alone than in bad company.;George Washington;alone
At his best, man is the noblest of all animals separated from law and justice he is the worst.;Aristotle;best
At some future period, not very distant as measured by centuries, the civilized races of man will almost certainly exterminate, and replace the savage races throughout the world.;Charles Darwin;future
At the center of non-violence stands the principle of love.;Martin Luther King, Jr.;love
At the touch of love everyone becomes a poet.;Plato;love
At twenty years of age the will reigns at thirty, the wit and at forty, the judgment.;Benjamin Franklin;age
At what point then is the approach of danger to be expected? I answer, if it ever reach us, it must spring up amongst us. It cannot come from abroad. If destruction be our lot, we must ourselves be its author and finisher. As a nation of freemen, we must live through all time, or die by suicide.;Abraham Lincoln;time
Attention to health is life's greatest hindrance.;Plato;fitness
Attitude is a little thing that makes a big difference.;Winston Churchill;attitude
Avoid popularity if you would have peace.;Abraham Lincoln;peace
Bad men are full of repentance.;Aristotle;men
Bashfulness is an ornament to youth, but a reproach to old age.;Aristotle;age
Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ.;Martin Luther;faith
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.;Steve Jobs;leadership
Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.;Benjamin Franklin;peace
Be careful about reading health books. You may die of a misprint.;Mark Twain;health
Be courageous. I have seen many depressions in business. Always America has emerged from these stronger and more prosperous. Be brave as your fathers before you. Have faith! Go forward!;Thomas A. Edison;business
Be courteous to all, but intimate with few, and let those few be well tried before you give them your confidence.;George Washington;friendship
Be slow in choosing a friend, slower in changing.;Benjamin Franklin;friendship
Be slow to fall into friendship but when thou art in, continue firm and constant.;Socrates;art
Beautiful music is the art of the prophets that can calm the agitations of the soul it is one of the most magnificent and delightful presents God has given us.;Martin Luther;art
Beauty and folly are old companions.;Benjamin Franklin;beauty
Beauty is a short-lived tyranny.;Socrates;beauty
Beauty is the bait which with delight allures man to enlarge his kind.;Socrates;beauty
Beethoven can write music, thank God, but he can do nothing else on earth.;Ludwig van Beethoven;music
Before God we are all equally wise - and equally foolish.;Albert Einstein;equality
Before I went to jail, I was active in politics as a member of South Africa's leading organization - and I was generally busy from 7 A.M. until midnight. I never had time to sit and think.;Nelson Mandela;politics
Before everything else, getting ready is the secret of success.;Henry Ford;success
Before the throne of the Almighty, man will be judged not by his acts but by his intentions. For God alone reads our hearts.;Mahatma Gandhi;alone
Being busy does not always mean real work. The object of all work is production or accomplishment and to either of these ends there must be forethought, system, planning, intelligence, and honest purpose, as well as perspiration. Seeming to do is not doing.;Thomas A. Edison;intelligence
Being ignorant is not so much a shame, as being unwilling to learn.;Benjamin Franklin;learning
Being the boss anywhere is lonely. Being a female boss in a world of mostly men is especially so.;Robert Frost;men
Better a little which is well done, than a great deal imperfectly.;Plato;great
Better is the enemy of good.;Voltaire;good
Better than a thousand hollow words, is one word that brings peace.;Buddha;peace
Beware of little expenses. A small leak will sink a great ship.;Benjamin Franklin;great
Beware the barrenness of a busy life.;Socrates;life
Beware the hobby that eats.;Benjamin Franklin;food
Beyond a doubt truth bears the same relation to falsehood as light to darkness.;Leonardo da Vinci;truth
Blood alone moves the wheels of history.;Martin Luther;alone
Books constitute capital. A library book lasts as long as a house, for hundreds of years. It is not, then, an article of mere consumption but fairly of capital, and often in the case of professional men, setting out in life, it is their only capital.;Thomas Jefferson;life
Bottom line is, I didn't return to Apple to make a fortune. I've been very lucky in my life and already have one. When I was 25, my net worth was $100 million or so. I decided then that I wasn't going to let it ruin my life. There's no way you could ever spend it all, and I don't view wealth as something that validates my intelligence.;Steve Jobs;intelligence
Broadly speaking, the short words are the best, and the old words best of all.;Winston Churchill;best
Business is never so healthy as when, like a chicken, it must do a certain amount of scratching around for what it gets.;Henry Ford;business
Business is the salt of life.;Voltaire;business
But Apple really beats to a different drummer. I used to say that Apple should be the Sony of this business, but in reality, I think Apple should be the Apple of this business.;Steve Jobs;business
But I say to you, Love your enemies and pray for those who persecute you, so that you may be sons of your Father who is in heaven for he makes his sun rise on the evil and on the good, and sends rain on the just and on the unjust.;Jesus Christ;good
But O, how bitter a thing it is to look into happiness through another man's eyes.;William Shakespeare;happiness
But curb thou the high spirit in thy breast, for gentle ways are best, and keep aloof from sharp contentions.;Homer;best
But for my faith in God, I should have been a raving maniac.;Mahatma Gandhi;faith
But friendship is precious, not only in the shade, but in the sunshine of life, and thanks to a benevolent arrangement the greater part of life is sunshine.;Thomas Jefferson;friendship
But if nothing but soul, or in soul mind, is qualified to count, it is impossible for there to be time unless there is soul, but only that of which time is an attribute, i.e. if change can exist without soul.;Aristotle;change
But men are men the best sometimes forget.;William Shakespeare;best
By all means, marry. If you get a good wife, you'll become happy if you get a bad one, you'll become a philosopher.;Socrates;good
By failing to prepare, you are preparing to fail.;Benjamin Franklin;motivational
By three methods we may learn wisdom: First, by reflection, which is noblest Second, by imitation, which is easiest and third by experience, which is the bitterest.;Confucius;experience
By trying we can easily endure adversity. Another man's, I mean.;Mark Twain;funny
By working faithfully eight hours a day you may eventually get to be boss and work twelve hours a day.;Robert Frost;work
Can you imagine what I would do if I could do all I can?;Sun Tzu;imagination
Cauliflower is nothing but cabbage with a college education.;Mark Twain;education
Change does not roll in on the wheels of inevitability, but comes through continuous struggle. And so we must straighten our backs and work for our freedom. A man can't ride you unless your back is bent.;Martin Luther King, Jr.;change
Change in all things is sweet.;Aristotle;change
Charity begins at home, and justice begins next door.;Charles Dickens;home
Choose a job you love, and you will never have to work a day in your life.;Confucius;life
Climate change is a terrible problem, and it absolutely needs to be solved. It deserves to be a huge priority.;Bill Gates;change
Clothes make the man. Naked people have little or no influence on society.;Mark Twain;society
Come, gentlemen, I hope we shall drink down all unkindness.;William Shakespeare;hope
Coming together is a beginning keeping together is progress working together is success.;Henry Ford;success
Common looking people are the best in the world: that is the reason the Lord makes so many of them.;Abraham Lincoln;best
Common sense is not so common.;Voltaire;intelligence
Common sense is the collection of prejudices acquired by age eighteen.;Albert Einstein;age
Communists have always played an active role in the fight by colonial countries for their freedom, because the short-term objects of Communism would always correspond with the long-term objects of freedom movements.;Nelson Mandela;freedom
Competition is the keen cutting edge of business, always shaving away at costs.;Henry Ford;business
Computers themselves, and software yet to be developed, will revolutionize the way we learn.;Steve Jobs;computers
Confusion of goals and perfection of means seems, in my opinion, to characterize our age.;Albert Einstein;age
Conquest is not in our principles. It is inconsistent with our government.;Thomas Jefferson;government
Constant development is the law of life, and a man who always tries to maintain his dogmas in order to appear consistent drives himself into a false position.;Mahatma Gandhi;life
Content makes poor men rich discontent makes rich men poor.;Benjamin Franklin;men
Continuous effort - not strength or intelligence - is the key to unlocking our potential.;Winston Churchill;intelligence
Courage is a kind of salvation.;Plato;courage
Courage is a mean with regard to fear and confidence.;Aristotle;courage
Courage is knowing what not to fear.;Plato;courage
Courage is like love it must have hope for nourishment.;Napoleon Bonaparte;courage
Courage is resistance to fear, mastery of fear, not absence of fear.;Mark Twain;courage
Courage is rightly esteemed the first of human qualities... because it is the quality which guarantees all others.;Winston Churchill;courage
Courage is the first of human qualities because it is the quality which guarantees the others.;Aristotle;courage
Courage is what it takes to stand up and speak courage is also what it takes to sit down and listen.;Winston Churchill;courage
Courageous people do not fear forgiving, for the sake of peace.;Nelson Mandela;fear
Cowards die many times before their deaths the valiant never taste of death but once.;William Shakespeare;death
Cunning... is but the low mimic of wisdom.;Plato;wisdom
DOS is ugly and interferes with users' experience.;Bill Gates;experience
Darkness cannot drive out darkness only light can do that. Hate cannot drive out hate only love can do that.;Martin Luther King, Jr.;forgiveness
Death and life have their determined appointments riches and honors depend upon heaven.;Confucius;death
Death and love are the two wings that bear the good man to heaven.;Michelangelo;death
Death is a fearful thing.;William Shakespeare;death
Death is not the worst that can happen to men.;Plato;death
Death is nothing, but to live defeated and inglorious is to die daily.;Napoleon Bonaparte;death
Death may be the greatest of all human blessings.;Socrates;death
Democracy arises out of the notion that those who are equal in any respect are equal in all respects because men are equally free, they claim to be absolutely equal.;Aristotle;men
Democracy is when the indigent, and not the men of property, are the rulers.;Aristotle;men
Democracy... is a charming form of government, full of variety and disorder and dispensing a sort of equality to equals and unequals alike.;Plato;equality
Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it's really how it works.;Steve Jobs;design
Design is not just what it looks like and feels like. Design is how it works.;Steve Jobs;design
Design is the fundamental soul of a man-made creation that ends up expressing itself in successive outer layers of the product or service. The iMac is not just the color or translucence or the shape of the shell. The essence of the iMac is to be the finest possible consumer computer in which each element plays together.;Steve Jobs;design
Despite everything, I believe that people are really good at heart.;Anne Frank;good
Determine never to be idle. No person will have occasion to complain of the want of time who never loses any. It is wonderful how much may be done if we are always doing.;Thomas Jefferson;motivational
Difference of opinion is advantageous in religion. The several sects perform the office of a Censor - over each other.;Thomas Jefferson;religion
Different men seek after happiness in different ways and by different means, and so make for themselves different modes of life and forms of government.;Aristotle;government
Digital reading will completely take over. It's lightweight and it's fantastic for sharing. Over time it will take over.;Bill Gates;time
Diligence is the mother of good luck.;Benjamin Franklin;good
Discipline is the soul of an army. It makes small numbers formidable procures success to the weak, and esteem to all.;George Washington;success
Discourage litigation. Persuade your neighbors to compromise whenever you can. As a peacemaker the lawyer has superior opportunity of being a good man. There will still be business enough.;Abraham Lincoln;business
Discrimination is a hellhound that gnaws at Negroes in every waking moment of their lives to remind them that the lie of their inferiority is accepted as truth in the society dominating them.;Martin Luther King, Jr.;society
Disneyland is a work of love. We didn't go into Disneyland just with the idea of making money.;Walt Disney;business
Disneyland will never be completed. It will continue to grow as long as there is imagination left in the world.;Walt Disney;imagination
Divorce is probably of nearly the same date as marriage. I believe, however, that marriage is some weeks the more ancient.;Voltaire;marriage
Do good to your friends to keep them, to your enemies to win them.;Benjamin Franklin;good
Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.;Buddha;future
Do not fear mistakes. You will know failure. Continue to reach out.;Benjamin Franklin;failure
Do not let your hearts be troubled. Trust in God trust also in me.;Jesus Christ;god
Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind.;Buddha;peace
Do the thing you fear most and the death of fear is certain.;Mark Twain;death
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.;Thomas Jefferson;motivational
Doctors will have more lives to answer for in the next world than even we generals.;Napoleon Bonaparte;medical
Does anybody really think that they didn't get what they had because they didn't have the talent or the strength or the endurance or the commitment?;Nelson Mandela;strength
Don't find fault, find a remedy.;Henry Ford;leadership
Don't go around saying the world owes you a living. The world owes you nothing. It was here first.;Mark Twain;life
Don't let schooling interfere with your education.;Mark Twain;education
Dost thou love life? Then do not squander time, for that is the stuff life is made of.;Benjamin Franklin;life
Each one has to find his peace from within. And peace to be real must be unaffected by outside circumstances.;Mahatma Gandhi;peace
Each one prays to God according to his own light.;Mahatma Gandhi;god
Each player must accept the cards life deals him or her: but once they are in hand, he or she alone must decide how to play the cards in order to win the game.;Voltaire;alone
Each year has been so robust with problems and successes and learning experiences and human experienes that a year is a lifetime at Apple. So this has been ten lifetimes.;Steve Jobs;learning
Each year one vicious habit discarded, in time might make the worst of us good.;Benjamin Franklin;good
Education consists mainly of what we have unlearned.;Mark Twain;education
Education doesn't change life much. It just lifts trouble to a higher plane of regard.;Robert Frost;change
Education is an ornament in prosperity and a refuge in adversity.;Aristotle;education
Education is hanging around until you've caught on.;Robert Frost;education
Education is the ability to listen to almost anything without losing your temper or your self-confidence.;Robert Frost;education
Education is the best provision for old age.;Aristotle;age
Education is the most powerful weapon which you can use to change the world.;Nelson Mandela;change
Education is what remains after one has forgotten what one has learned in school.;Albert Einstein;education
Electric communication will never be a substitute for the face of someone who with their soul encourages another person to be brave and true.;Charles Dickens;communication
Employ thy time well, if thou meanest to gain leisure.;Benjamin Franklin;time
Employ your time in improving yourself by other men's writings, so that you shall gain easily what others have labored hard for.;Socrates;men
Entire ignorance is not so terrible or extreme an evil, and is far from being the greatest of all too much cleverness and too much learning, accompanied with ill bringing-up, are far more fatal.;Plato;knowledge
Errors are not in the art but in the artificers.;Isaac Newton;art
Even death is not to be feared by one who has lived wisely.;Buddha;death
Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.;Martin Luther;inspirational
Even if you are a minority of one, the truth is the truth.;Mahatma Gandhi;truth
Even peace may be purchased at too high a price.;Benjamin Franklin;peace
Every art and every inquiry, and similarly every action and choice, is thought to aim at some good and for this reason the good has rightly been declared to be that at which all things aim.;Aristotle;art
Every beauty which is seen here by persons of perception resembles more than anything else that celestial source from which we all are come.;Michelangelo;beauty
Every formula of every religion has in this age of reason, to submit to the acid test of reason and universal assent.;Mahatma Gandhi;age
Every government degenerates when trusted to the rulers of the people alone. The people themselves are its only safe depositories.;Thomas Jefferson;alone
Every knee will bend before me, and every tongue shall give glory to God.;Jesus Christ;god
Every man is guilty of all the good he did not do.;Voltaire;good
Every man is said to have his peculiar ambition. Whether it be true or not, I can say for one that I have no other so great as that of being truly esteemed of my fellow men, by rendering myself worthy of their esteem.;Abraham Lincoln;great
Every man must do two things alone he must do his own believing and his own dying.;Martin Luther;alone
Everyone has inside of him a piece of good news. The good news is that you don't know how great you can be! How much you can love! What you can accomplish! And what your potential is!;Anne Frank;good
Everyone here has the sense that right now is one of those moments when we are influencing the future.;Steve Jobs;future
Everyone should be respected as an individual, but no one idolized.;Albert Einstein;respect
Everything has beauty, but not everyone sees it.;Confucius;beauty
Everything human is pathetic. The secret source of humor itself is not joy but sorrow. There is no humor in heaven.;Mark Twain;humor
Everything that is done in the world is done by hope.;Martin Luther;hope
Excellence is an art won by training and habituation. We do not act rightly because we have virtue or excellence, but we rather have those because we have acted rightly. We are what we repeatedly do. Excellence, then, is not an act but a habit.;Aristotle;art
Excellence, then, is a state concerned with choice, lying in a mean, relative to us, this being determined by reason and in the way in which the man of practical wisdom would determine it.;Aristotle;wisdom
Excess generally causes reaction, and produces a change in the opposite direction, whether it be in the seasons, or in individuals, or in governments.;Plato;change
